Item_Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Naan,Pilau Rice,Onion Bhajee,Curry - Chicken,Korma - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Pilau Rice,Mixed Vegetable Curry,Chicken Tikka Jalfrezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Garlic Naan,Plain Rice,Tandoori Fish,Royal Paneer,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Saag - Lamb,Madras - King Prawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Naan,Keema Naan,Plain Rice,Korma Sauce,Korma - Chicken,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Egg Rice,Mushroom Bhajee,Madras - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Chicken Tikka,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Fries,Chicken Pakora,Tarka Dall,Vindaloo - Chicken Tikka,Lamb Karahi,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bottle Coke,Special Fried Rice,Tandoori Chicken (1/4),Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Pilau Rice,Curry Sauce,Prawn Puree,Madras - Chicken,Saag - Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Chicken Pakora,Chicken Balti,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Roti,Pilau Rice,King Prawn Puree,Saag Paneer,Lamb Tikka Pasanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulcha Naan,Tandoori Chicken (Main),Vegetable Karahi,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Roti,Meat Samosa,Mushroom Rice,Aloo Gobi,Dhansak - Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Onion Chutney,Plain Papadum,Pilau Rice,Onion Bhajee,Korma - Lamb,Chicken Tikka Masala,Dupiaza - Lamb,Chicken Tikka Pasanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lime Pickle,Onion Bhajee,Mushroom Rice,Chicken Pakora,Korma - Chicken Tikka,Chicken Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Pilau Rice,Cauliflower Bhajee,Saag - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Pilau Rice,Madras - Chicken,Chicken Tikka Masala,Tandoori King Prawn Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Roti,Pilau Rice,Saag - Chicken Tikka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peshwari Naan,Garlic Naan,Pilau Rice,Meat Samosa,Korma - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paratha,Keema Rice,Muttar Paneer,Tarka Dall,Chana Masala,Madras - Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Plain Rice,Pilau Rice,Bottle Coke,Korma Sauce,Mixed Vegetable Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Garlic Naan,Bombay Aloo,Madras - Chicken,Korma - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Plain Rice,Chicken Tikka (Main),Chicken Tikka Masala,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peshwari Naan,Pilau Rice,Meat Samosa,Chana Masala,Lamb Tikka Pasanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Mushroom Rice,Special Fried Rice,French Fries,Prawn Puree,Chicken Pakora,Chicken Tikka Chilli Masala,Pathia - Chicken,Lamb Balti,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Fried Rice,Vegetable Rice,Chicken Chaat,Bhuna - Chicken,Dupiaza - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Tikka (Main),Tandoori Chicken (Main),King Prawn Shaslick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Pilau Rice,Keema Naan,Peshwari Naan,Onion Bhajee,Mushroom Rice,Masala Sauce,Curry - Lamb,Chicken Shashlick Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Pilau Rice,Plain Rice,Bombay Aloo,Chicken Tikka Masala,Saag - Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Rice,Curry - Chicken,Lamb Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Red Sauce,Mango Chutney,Plain Papadum,Tandoori Roti,Mushroom Rice,Bombay Aloo,Tandoori Mixed Grill,King Prawn Hari Mirch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetable Rice,Chicken Chaat,Bhuna - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Naan,Plain Rice,Chicken Tikka,Madras - Chicken,Korma - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Rice,Mixed Starter,Saag - Prawn,Tandoori King Prawn Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Saag Rice,Mushroom Rice,Rogon - Lamb,Korma - Chicken,Vegetable Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Garlic Naan,Sheek Kebab,Chicken Pakora,Saag Aloo,Curry - Chicken,Curry - Lamb,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Bottle Coke,Curry Sauce,Onion Bhajee,Chicken Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Raitha,Chicken Biryani,Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Mint Sauce,Spicy Papadum,Chapati,Plain Rice,Dupiaza - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Plain Papadum,Garlic Naan,Pilau Rice,Mushroom Rice,Madras - Chicken,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Pilau Rice,Saag Aloo,Bhuna - Lamb,Dupiaza - Chicken Tikka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheek Kebab,Aloo Gobi,Cauliflower Bhajee,Saag Bhajee,Chicken Tikka (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Chicken Balti,Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paratha,French Fries,Chicken Tikka,Madras - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Keema Naan,Meat Samosa,Aloo Chaat,Tarka Dall,Saag Paneer,Lamb Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Spicy Papadum,Chapati,Pilau Rice,Peshwari Naan,French Fries,Chicken Pakora,Mushroom Bhajee,Chana Masala,Saag Aloo,Bhindi Bhajee,Saag Paneer,Aloo Gobi,Muttar Paneer,Baingan Hari Mirch,Chicken Tikka (Main),Tandoori Chicken (Main),Bhuna - Chicken,Dhansak - Chicken,Lamb Haryali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Garlic Naan,Mixed Starter,Lamb Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Mango Chutney,Lime Pickle,Plain Papadum,Plain Naan,Pilau Rice,Onion Bhajee,Meat Samosa,Mushroom Bhajee,Bombay Aloo,Chicken Tikka Masala,Korma - Chicken,Paneer Shaslick,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Lime Pickle,Plain Papadum,Pilau Rice,Vegetable Rice,Saag Aloo,Mushroom Bhajee,Bombay Aloo,Chicken Tikka Jeera,Saag - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamb Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raitha,Garlic Rice,Saag Paneer,Butter Chicken,Chicken Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Madras Sauce,Chicken Shashlick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Chicken Pakora,Pathia - Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Garlic Naan,Lamb Tikka,Saag Aloo,Rogon - Lamb,Hazary Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Garlic Naan,Pilau Rice,Onion Bhajee,Mushroom Rice,Chicken Tikka,Curry - Chicken,Chicken Karahi,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Tandoori Roti,Onion Bhajee,Madras Sauce,Garlic Rice,Aloo Chaat,Bombay Aloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peshwari Naan,Mushroom Rice,Saag Aloo,Pathia - Chicken,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Plain Naan,Plain Rice,Chicken Tikka (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Onion Bhajee,Mushroom Rice,Aloo Gobi,Curry - Lamb,Vegetable Biryani,Chicken Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Mint Sauce,Plain Papadum,Plain Naan,Pilau Rice,Plain Rice,Aloo Gobi,Chicken Tikka (Main),Chicken Tikka Masala,Chicken Tikka Jalfrezi,Lal Mirch Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Garlic Naan,Pilau Rice,Peshwari Naan,Vegetable Rice,Onion Bhajee,Saag Aloo,Aloo Gobi,Curry - Chicken,Madras - Chicken,Vindaloo - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Tandoori Roti,Plain Naan,Peshwari Naan,Mixed Vegetable Curry,Mushroom Bhajee,Madras - Chicken,Chicken Tikka Masala,Lamb Mysore,Chicken Haryali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raitha,Pilau Rice,Garlic Naan,Tandoori Fish,Baingan Hari Mirch,Methi - Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Plain Papadum,Plain Naan,Pilau Rice,Bombay Aloo,Chicken Tikka (Main),Bhuna - Lamb,Lamb Shashlick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Chicken Tikka,Vegetable Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Raitha,Garlic Naan,Royal Paneer,Paneer Shaslick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Bottle Coke,Chicken Chaat,Tandoori Fish,Lamb Biryani,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lime Pickle,Plain Naan,Meat Samosa,Onion Bhajee,Vindaloo Sauce,Special Fried Rice,Bhuna - Lamb,Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Sheek Kebab,Chicken Karahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Pilau Rice,Peshwari Naan,Onion Bhajee,Saag Aloo,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peshwari Naan,Lemon Rice,COBRA (660ML),Chicken Tikka Jeera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Raitha,Keema Naan,Onion Rice,Chicken Tikka Masala,Bhuna - Prawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muttar Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Prawn Puree,King Prawn Puree,Tarka Dall,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengal Fish Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Prawn Puree,Saag - Lamb,Saag - King Prawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Spicy Papadum,Garlic Naan,COBRA (660ML),Dhansak - Chicken Tikka,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Keema Naan,Lamb Tikka,Chicken Karahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Plain Rice,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Fried Rice,Bhuna - Chicken,Dupiaza - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Dupiaza - Lamb,Korma - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Bombay Aloo,Korma - Chicken,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Peshwari Naan,Kulcha Naan,Garlic Naan,Stuffed Paratha,Vegetable Rice,Aloo Chaat,Cauliflower Bhajee,Tarka Dall,Paneer Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Plain Naan,Pilau Rice,Bombay Aloo,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Curry - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mushroom Rice,Stuffed Paratha,Saag Aloo,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Red Sauce,Onion Chutney,Spicy Papadum,Plain Naan,Pilau Rice,Bombay Aloo,Chicken Shashlick Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Lime Pickle,Red Sauce,Onion Chutney,Plain Papadum,Garlic Naan,Vegetable Rice,Onion Bhajee,Garlic Rice,Prawn Puree,Saag Paneer,Saag Aloo,Bhuna - Prawn,Paneer Shaslick,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Royal Paneer,Dhansak - Chicken Tikka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peshwari Naan,Pilau Rice,Garlic Naan,Meat Samosa,Korma - Chicken,Lamb Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,COBRA (330ML),Dhansak - Chicken Tikka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Plain Papadum,Mushroom Rice,Aloo Gobi,Korma - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Peshwari Naan,Pilau Rice,Onion Bhajee,Chicken Tikka,Lamb Karahi,Bhuna - Chicken,Chicken Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peshwari Naan,Keema Rice,Saag Aloo,Curry - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Mushroom Rice,Bombay Aloo,Madras - Chicken,Korma - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Fried Rice,Vegetable Rice,Dupiaza - Chicken,Saag - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengal Fish Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Onion Bhajee,Onion Rice,Curry - Chicken,Chicken Tikka Masala,Chicken Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Pilau Rice,Garlic Naan,Saag Paneer,Bombay Aloo,Chicken Tikka Jalfrezi,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Chapati,Pilau Rice,Madras - Chicken Tikka,Madras - Lamb,Dhansak - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Plain Naan,Chicken Tikka Garlic,Chicken Rezala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sauce,Mint Sauce,Plain Papadum,Pilau Rice,Sheek Kebab,Madras - Lamb,Lamb Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Keema Naan,Pilau Rice,Korma - Lamb,Lamb Biryani,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Garlic Naan,Onion Bhajee,Mushroom Rice,Sheek Kebab,Tandoori Chicken (Main),Bhuna - Chicken,Chicken Karahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Meat Samosa,Tandoori Mixed Grill,King Prawn Shaslick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Bombay Aloo,Chicken Shashlick,King Prawn Shaslick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peshwari Naan,Mushroom Rice,Korma - Chicken Tikka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Pilau Rice,Plain Rice,Curry Sauce,Prawn Puree,Madras - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Rice,Mushroom Bhajee,Lamb Tikka Karahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Garlic Naan,Chicken Tikka Karahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Pilau Rice,Onion Bhajee,Vegetable Roll,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Tandoori Chicken Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Peshwari Naan,Garlic Naan,Vegetable Roll,Aloo Gobi,Saag - Chicken,Lamb Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Chicken Biryani,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Fried Rice,Vegetable Rice,Chicken Chaat,Bhuna - Chicken,Dupiaza - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Garlic Naan,Plain Rice,Vindaloo - Lamb,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vindaloo - Chicken,Lal Mirch Lamb,Lal Mirch Chicken,Vindaloo - King Prawn,Hazary Lamb,Hazary Lamb Chilli Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Chicken (1/4),King Prawn Butterfly,Tandoori Fish,Lamb Tikka (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Bhajee,Egg Rice,Dhansak - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Plain Naan,Plain Rice,Peshwari Naan,Onion Bhajee,Chicken Tikka,Saag Aloo,Vindaloo - Lamb,Tandoori Chicken (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Pilau Rice,Vindaloo Sauce,Chicken Tikka Jalfrezi,Lamb Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Mint Sauce,Plain Papadum,Plain Naan,Raitha,Pilau Rice,Onion Bhajee,Bombay Aloo,Mushroom Bhajee,Korma - Chicken,Korma - Lamb,Paneer Shaslick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Plain Rice,Muttar Paneer,Saag Aloo,Tarka Dall,Chicken Hari Mirch,Lamb Chilli Garlic,King Prawn Hari Mirch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Plain Rice,Vegetable Rice,Korma - Chicken,Chicken Karahi,Chicken Tikka Jeera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Rice,Keema Naan,Bombay Aloo,Saag Aloo,Madras - Chicken,Chicken Tikka Jalfrezi,Korma - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Mushroom Rice,Saag Bhajee,Chicken Tikka (Main),Lamb Chilli Garlic,Chicken Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Fish,Chana Masala,Bhindi Bhajee,Dall Samba,Saag - King Prawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lime Pickle,Plain Papadum,Garlic Naan,Chicken Tikka,Baingan Hari Mirch,Cauliflower Bhajee,Tandoori King Prawn Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Garlic Naan,Pilau Rice,Mushroom Rice,Madras - Lamb,Chicken Tikka Masala,Chicken Tikka (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saag Aloo,Aloo Gobi,Vegetable Biryani,Chicken Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
