Item_Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Diet Coke 1.5 ltr,Peshwari Naan,French Fries,Bombay Aloo,Saag Aloo,Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Pilau Rice,Plain Rice,Coke 1.5 ltr,Mixed Starter,Korma,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Plain Rice,Tarka Dall,Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sauce,Chapati,Plain Rice,Vegetable Roll,Vindaloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Diet Coke 1.5 ltr,Lamb Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Lime Pickle,Plain Papadum,Pilau Rice,Chicken Chaat,Pathia,Chicken Tikka Chilli Masala,Lamb Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Fried Rice,Tandoori Fish,Tandoori Chicken (Main),Persian Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Egg Rice,Chicken Pakora,Curry,Curry,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy Papadum,Plain Papadum,Pilau Rice,Vindaloo,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Plain Papadum,Coke 1.5 ltr,Pilau Rice,Chicken Tikka,Korma,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sauce,Onion Chutney,Plain Papadum,Pilau Rice,Keema Naan,Mixed Vegetable Curry,Chicken Tikka Jalfrezi,Chicken Rezala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Bombay Aloo,Chicken Karahi,Dhansak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Pilau Rice,Onion Bhajee,Sheek Kebab,Mushroom Bhajee,Chicken Tikka Jalfrezi,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Lime Pickle,Plain Papadum,Peshwari Naan,Pilau Rice,Dhansak,Chicken Tikka Pasanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sauce,Plain Papadum,Plain Naan,Pilau Rice,Onion Bhajee,French Fries,Korma,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Mint Sauce,Red Sauce,Plain Papadum,Chapati,Plain Naan,Plain Rice,Bengal Salad,Curry Sauce,Mixed Starter,Saag Aloo,Curry,Dhansak,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Saag Aloo,Bhuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Garlic Naan,Lal Mirch Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Plain Papadum,Pilau Rice,Garlic Naan,Peshwari Naan,Mushroom Rice,Madras,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Spicy Papadum,Plain Papadum,Onion Bhajee,Bombay Aloo,Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Onion Naan,Meat Samosa,Mushroom Rice,Tandoori Chicken (1/4),Madras,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Garlic Naan,Onion Bhajee,Lemon Rice,COBRA (330ML),Dhansak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Rice,Chicken Tikka Jalfrezi,Sheek Kebab (Main),Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Meat Samosa,Saag Aloo,Chicken Tikka Jalfrezi,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Special Fried Rice,Mixed Starter,Lamb Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Plain Papadum,Garlic Naan,Keema Rice,Saag Aloo,Chicken Tikka Masala,Lamb Shashlick Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Pilau Rice,Meat Samosa,Chicken Chaat,Curry,Madras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Plain Rice,Pilau Rice,Bombay Aloo,Curry,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puree,Pilau Rice,Keema Naan,Curry,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Bhuna,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Madras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Tandoori Roti,Vegetable Rice,Tarka Dall,Chana Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Onion Bhajee,Tandoori Chicken (1/4),Lamb Tikka,Bombay Aloo,Madras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Puree,Plain Naan,Special Fried Rice,Aloo Gobi,Curry,Tandoori Mixed Grill,Bengal King Prawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saag Rice,Saag Aloo,Chicken Roshni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Madras,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Naan,Pilau Rice,Curry,Lamb Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Diet Coke 1.5 ltr,Egg Rice,Chicken Chaat,Bombay Aloo,Madras,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Rice,Onion Bhajee,Saag Paneer,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Chapati,Peshwari Naan,Onion Bhajee,Tandoori Chicken (1/4),Saag Aloo,Lamb Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peshwari Naan,Special Fried Rice,Meat Samosa,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Saag Aloo,Chicken Tikka Masala,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Raitha,French Fries,Korma,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Coke 1.5 ltr,French Fries,Madras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Paratha,Chicken Chaat,Chicken Tikka Chilli Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Meat Samosa,Keema Rice,Mushroom Rice,Bombay Aloo,Mushroom Bhajee,Chana Masala,Sheek Kebab (Main),Lamb Tikka Masala,Chicken Shashlick,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Pilau Rice,Korma,Chicken Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Diet Coke 1.5 ltr,Saag Paneer,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Onion Bhajee,Saag Rice,Chicken Karahi,Rogon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Saag Bhajee,Cauliflower Bhajee,Chicken Tikka (Main),Tandoori Chicken (Main),Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peshwari Naan,Pilau Rice,Garlic Naan,Mushroom Rice,Korma,Dupiaza,Chicken Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Onion Rice,Korma,King Prawn Hari Mirch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Mint Sauce,Lime Pickle,Red Sauce,Plain Papadum,Peshwari Naan,Kulcha Naan,Coke 1.5 ltr,Special Fried Rice,Chicken Tikka Masala,Lamb Balti,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Plain Papadum,Chapati,Plain Rice,Korma,Paneer Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Peshwari Naan,Plain Rice,Pilau Rice,Meat Samosa,Onion Bhajee,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vindaloo,Vegetable Biryani,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Mint Sauce,Red Sauce,Plain Papadum,Garlic Naan,Peshwari Naan,Pilau Rice,Brinjal Bhajee,Saag Paneer,Chicken Tikka Garlic,Rogon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Mango Chutney,Plain Papadum,Pilau Rice,Onion Bhajee,Bombay Aloo,Korma,Chicken Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Garlic Naan,Lemon Rice,Egg Rice,Saag Paneer,Chicken Tikka Chilli Masala,Madras,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Plain Naan,Keema Naan,Pilau Rice,Chicken Karahi,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Pilau Rice,Garlic Naan,Onion Bhajee,Bombay Aloo,Chicken Tikka Pasanda,Lamb Tikka Sizzler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Mint Sauce,Plain Papadum,Pilau Rice,Bombay Aloo,Madras,Chicken Tikka Jeera,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Plain Rice,Onion Bhajee,Saag Bhajee,Bhuna,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Plain Naan,Keema Naan,Chicken Tikka Jalfrezi,Paneer Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Chapati,Chana Masala,Tandoori Chicken (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Plain Naan,Plain Rice,Chicken Tikka Pasanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Red Sauce,Spicy Papadum,Keema Rice,Meat Samosa,Bombay Aloo,Madras,Madras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Pilau Rice,Peshwari Naan,Onion Bhajee,Sheek Kebab,Bhuna,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Onion Bhajee,Saag Aloo,Madras,Chicken Tikka (Main),Korma,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Chicken Chaat,Chicken Tikka,Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,French Fries,Bengal Salad,Lamb Balti,Lamb Biryani,Prawn Balti,Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Bhajee,Lamb Tikka Masala,Chicken Tikka Masala,Paneer Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Chicken Tikka,Madras,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Chapati,Plain Naan,Onion Bhajee,Meat Samosa,Mushroom Rice,Special Fried Rice,Bombay Aloo,Butter Chicken,Hazary Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Pilau Rice,Plain Rice,Lemon Rice,Curry,Curry,Curry,Vindaloo,Curry,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meat Samosa,Onion Bhajee,Aloo Chaat,Vegetable Roll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Fries,Chicken Tikka (Main),Lamb Tikka (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Pakora,Chicken Chaat Main,Lal Mirch Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Garlic Naan,Onion Naan,Chicken Tikka (Main),Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Tandoori Chicken (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Tandoori Chicken (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Garlic Naan,Saag,Chicken Tikka Chilli Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Prawn Puree,Baingan Hari Mirch,Aloo Methi,Saag Bhajee,Chicken Shashlick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Plain Naan,Peshwari Naan,Pilau Rice,Diet Coke 1.5 ltr,Chicken Tikka Masala,Bhuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Mixed Starter,Chicken Tikka Garlic,Chicken Biryani,Chicken Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Chapati,Keema Naan,Pilau Rice,Meat Samosa,Masala Sauce,Korma Sauce,Chicken Pakora,Chana Masala,Bombay Aloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Mango Chutney,Plain Papadum,Plain Naan,Plain Rice,Aloo Chaat,Madras,Lamb Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Plain Naan,Korma Sauce,Special Fried Rice,French Fries,Bombay Aloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Onion Bhajee,Bombay Aloo,Chicken Tikka Masala,Chicken Shashlick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paratha,Chicken Tikka,Chicken Chaat,Bombay Aloo,Chicken Tikka Chilli Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarka Dall,Chana Masala,Bhuna,Paneer Shaslick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Onion Bhajee,Special Fried Rice,COBRA (660ML),Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Pilau Rice,Mushroom Rice,Aloo Gobi,Lamb Tikka (Main),Chicken Tikka Masala,Chicken Mysore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Rice,Pilau Rice,Butter Chicken,Chicken Rezala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Paratha,Vegetable Rice,Aloo Chaat,Saag Aloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Paratha,Vegetable Rice,Aloo Chaat,Chana Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peshwari Naan,Pilau Rice,Chicken Tikka Masala,Bhuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
